體系,篇章節,條號,項次,定性,主題,法條重點,構成要件,法律效果
保險,總論,53,,,保險人之當然代位權,保險人理賠前，被保險人對第三人之損害賠償請求權不生法定移轉於保險人之效力,"1.被保險人對第三人有損害賠償請求權
2.保險人對被保險人已給付保險金
3.代位權之範圍不得超過保險賠償範圍
4.損害賠償標的須一致",
保險,總論,93,,,保險人和解參與權,,,
保險,總論,94,I,,向被保險人給付賠償金之限制,第三人應先受償，被保險人始得受保險給付,責任保險、被保險人應負責任,有爭議
保險,總論,95,,,經指示向第三人給付賠償金,單向關係：保險人可直接給付第三人，第三人不得請求給付,,
保險,總論,103,,,人壽保險人代位之禁止,,,
公司,,8,,公司負責人,公司負責人,,,
公司,,189,,股東會,撤銷股東會決議之訴,,,
公司,,315,,解散,法定解散事由,,,
證交,,28-2,,,庫藏股例外可買回,"轉讓股份予員工：提升員工士氣
維護公司信用及股東權益：通常伴隨註銷股份（減資），可提升每股盈餘（EPS）
股權轉換：用於可轉換公司債等","1.數量上限：不得超過公司已發行股份總數的10%
2.金額上限：不得超過保留盈餘、發行股份溢價及已實現資本公積之合計數
3.期限：除特殊規定外，申報後通常應於2個月內買回完畢
4.買回價格：限制每日買回價格不得超過當日漲幅限制的一半，且有禁止買回的時段",
證交,,43-8,,,,,,
公開資訊,,5,,,,輸入公開資訊觀測站方為消息明確,,
