甲類事件,乙類事件,丙類事件,丁類事件,戊類事件,col,適用條文,適用事件
一、確認婚姻無效、婚姻關係存在或不存在事件。,一、撤銷婚姻事件。,一、因婚約無效、解除、撤銷、違反婚約之損害賠償、返還婚約贈與物事件。,一、宣告死亡事件。,一、因婚姻無效、撤銷或離婚之給與贍養費事件。,,"第 23 條
家事事件除第三條所定丁類事件外，於請求法院裁判前，應經法院調解。
前項事件當事人逕向法院請求裁判者，視為調解之聲請。但當事人應為公示送達或於外國為送達者，不在此限。
除別有規定外，當事人對丁類事件，亦得於請求法院裁判前，聲請法院調解。",甲乙丙戊
二、確定母再婚後所生子女生父事件。,二、離婚事件。,二、因婚姻無效、撤銷婚姻、離婚、婚姻消滅之損害賠償事件。,二、撤銷死亡宣告事件。,二、夫妻同居事件。,,"第 37 條
第三條所定甲類、乙類、丙類及其他家事訴訟事件，除別有規定外，適用本編之規定。
＊第 三 編 家事訴訟程序",甲乙丙
三、確認親子關係存在或不存在事件。,三、否認子女、認領子女事件。,三、夫妻財產之補償、分配、分割、取回、返還及其他因夫妻財產關係所生請求事件。,三、失蹤人財產管理事件。,三、指定夫妻住所事件。,,"第 39 條
第三條所定甲類或乙類家事訴訟事件，由訟爭身分關係當事人之一方提起者，除別有規定外，以他方為被告。
前項事件，由第三人提起者，除別有規定外，以訟爭身分關係當事人雙方為共同被告；其中一方已死亡者，以生存之他方為被告。",甲乙
四、確認收養關係存在或不存在事件。,四、撤銷收養、撤銷終止收養事件。,四、因判決終止收養關係給與相當金額事件。,四、監護或輔助宣告事件。,四、報告夫妻財產狀況事件。,,"第 40 條
第三條所定甲類或乙類家事訴訟之結果，於第三人有法律上利害關係者，法院應於事實審言詞辯論終結前相當時期，將訴訟事件及進行程度，以書面通知已知悉之該第三人，並將判決書送達之。
法院為調查有無前項利害關係人，於必要時，得命當事人提出有關資料或為其他必要之處分。
第一項受通知人依民事訴訟法第五十八條規定參加訴訟者，準用同法第五十六條之規定。
法律審認有試行和解之必要時，亦得依民事訴訟法第三百七十七條規定，通知有利害關係之第三人參加和解。",甲乙
,,五、因監護所生損害賠償事件。,五、撤銷監護或輔助宣告事件。,五、給付家庭生活費用事件。,,"第 48 條
就第三條所定甲類或乙類家事訴訟事件所為確定之終局判決，對於第三人亦有效力。但有下列各款情形之一者，不在此限：
一、因確認婚姻無效、婚姻關係存在或不存在訴訟判決之結果，婚姻關係受影響之人，非因可歸責於己之事由，於該訴訟之事實審言詞辯論終結前未參加訴訟。
二、因確認親子關係存在或不存在訴訟判決之結果，主張自己與該子女有親子關係之人，非因可歸責於己之事由，於該訴訟之事實審言詞辯論終結前未參加訴訟。
三、因認領子女訴訟判決之結果，主張受其判決影響之非婚生子女，非因可歸責於己之事由，於該訴訟之事實審言詞辯論終結前未參加訴訟。
前項但書所定之人或其他與家事訴訟事件有法律上利害關係之第三人，非因可歸責於己之事由而未參加訴訟者，得請求撤銷對其不利部分之確定終局判決，並準用民事訴訟法第五編之一第三人撤銷訴訟程序之規定。",甲乙
,,六、因繼承回復、遺產分割、特留分、遺贈、確認遺囑真偽或其他繼承關係所生請求事件。,六、定監護人、選任特別代理人事件。,六、宣告改用分別財產制事件。,,"第 74 條
第三條所定丁類、戊類及其他家事非訟事件，除別有規定外，適用本編之規定。
＊第 四 編 家事非訟程序",丁戊
,,,七、認可收養或終止收養、許可終止收養事件。,七、變更子女姓氏事件。,,,
,,,八、親屬會議事件。,八、定對於未成年子女權利義務之行使負擔事件。,,,
,,,九、拋棄繼承、無人承認繼承及其他繼承事件。,九、交付子女事件。,,,
,,,十、指定遺囑執行人事件。,十、宣告停止親權或監護權及撤銷其宣告事件。,,,
,,,十一、兒童、少年或身心障礙者保護安置事件。,十一、監護人報告財產狀況及監護人報酬事件。,,,
,,,十二、嚴重病人保護安置事件。,十二、扶養事件。,,,
,,,十三、民事保護令事件。,十三、宣告終止收養關係事件。,,,
