主題,說明,比較項目,民事訴訟法 (條文/內容),刑事訴訟法 (條文/內容),對照解析
"一、抗告之提起與效力
（程序面比對）",此部分條文結構最為相似，均採「原法院更正主義」。,提起期間,§487,§406,完全一致。
,,,抗告，應於裁定送達後10日之不變期間內為之。,抗告期間，除有特別規定外，為10日，自送達裁定後起算。,
,,提起方式,§488,§407,完全一致。
,,,抗告，應向原法院提出抗告狀。,提起抗告，應以書狀敘述理由，提出於原審法院。,均須向「做裁定的法院」提出，非直接寄給上級。
,,"原法院處理
(更正權)",§490 I,§408 I,極相似。
,,,原法院認抗告為有理由者，應更正原裁定。,原審法院認為抗告有理由者，應更正其裁定。,差別在於刑訴多了**「三日內」**的時限要求，強調人身自由案件的急迫性。
,,,§490 II,§408 II,
,,,認抗告為無理由者，應...送交抗告法院。,認為無理由者，應於三日內...送交抗告法院。,
,,停止執行效力,§491 I,§409 I,完全一致。
,,,抗告，除別有規定外，無停止執行之效力。,抗告，無停止執行裁判之效力。但...,原則不停止，例外裁定停止。
,,,**§491 II**,§409 II,
,,,原法院或抗告法院得...裁定停止執行。,原審法院或抗告法院，得裁定停止執行。,
"二、抗告之標的
（實體面比對）",此部分差異最大。民訴原則上開放；刑訴為了避免拖延訴訟，對「訴訟程序中」的裁定限制較嚴。,一般原則,§482,§403 I,相似。
,,,對於裁定，得為抗告。但別有不許抗告之規定者，不在此限。,"當事人對於法院之裁定有不服者，除有特別規定外，得抗告。
(證人、鑑定人亦得抗告)",刑訴特別明文將證人、鑑定人列入（針對罰鍰等裁定）。
,,不得抗告之範圍,§483,§404 I,核心差異點。
,,,訴訟程序進行中之裁定，不得抗告。但...（列舉例外）。,對於判決前關於管轄或訴訟程序之裁定，不得抗告。,民訴的例外較少；刑訴因涉及人權（如羈押），§404 II 的例外列舉是實務攻防重點。
,,,,§404 II,
,,,,但下列裁定，不在此限：（列舉羈押、保釋、沒入保證金等）。,
,,隨同上訴,§483,§403 II,法理一致。
,,,(訴訟程序中裁定) ...得隨同該判決一併抗告。,非當事人...得提起抗告。,平時不能抗告的小裁定，算總帳時（上訴）再吵。
三、準抗告（Quasi-Appeal）,比對「準抗告」是針對非法院（合議庭）裁定的救濟手段。,條文,§485,§416,
,,針對對象,受命法官、受託法官 或 司法事務官 (另見§240-4)。,審判長、受命法官、受託法官 或 檢察官。,"刑訴範圍較廣。
刑訴包含檢察官的處分（如扣押）。"
,,適用事項,認為受命法官之裁定屬於不得上訴之判決而駁回者 (極少用，民事多為針對司法事務官處分)。,"列舉事項：
1.羈押、具保、責付...
2.搜索、扣押...
3.鑑定許可...","刑訴極重要。
刑訴準抗告是針對「強制處分」的關鍵救濟；民事則多用於行政性質處分。"
,,管轄,向受訴法院提出異議。,向該管法院提出（若為檢察官處分，向所屬法院聲請撤銷）。,"一致。
都是向「法院」聲請，非向上級審。"
四、再抗告（Re-Appeal）,比對針對「抗告法院的裁定」不服，欲上訴至第三審（最高法院）的情況。,條文,§486,§415,
,,限制條件,"1.以「適用法規顯有錯誤」為理由。
2.經原法院許可（許可理由限於涉及法律見解之原則上重要性）。","1.案件本身若屬不得上訴第三審之案件，其裁定亦不得再抗告。
2.須以裁定違背法令為理由。","民訴更嚴格。
民訴多了一個「原法院許可制」的篩選門檻；刑訴則主要看案件類型是否為輕罪。"
