項次,訴訟契約,性質／功能,典型法理,col_5,col_6,col_7
a.,證據保全程序中之協議,對證據方法、保全方式進行程序合意,證據契約,按照民事訴訟的證據分配原則，雙方當事人誰主張有利自己的事實，他就要負責舉證。然而，契約雙方當事人如果相互合意，在契約書中另外附加變更或調整舉證分配原則的約定，並未超出自由處分的權限，也無礙公益與不妨害法官自由心證，那麼，此項約定便是ㄧ種證據契約，具有程序法和實體法的雙重效力。（參見最高法院104年度台上字551號民事判決）,,
b.,簡化爭點協議,限縮爭點、拘束後續攻防範圍,爭點整理契約,廣義,當事人間成立之自認契約（承認某事實不予爭執之合意）,
c.,受命法官調查證據之協議,同意由受命法官代替合議庭調查證據,審理程序契約,,仲裁鑑定契約（將某一事實之確定委諸第三人之合意）,"關於仲裁鑑定契約,下列選項何者錯誤? (A)仲裁鑑定契約,係指當事人約定將法律關係中某事實或構成要件要素之確定,委任由法院外具專業知識之第三人為判斷。 (B)仲裁鑑定契約,其性質具有訴訟契約中證據契約之性質,本於辯論主義之事實處分自由及自主選擇定紛爭解決程序之綜合評量,在辯論主義之範圍內, 實務承認其效力。 (C)當事人間協議「關於建物存在何等瑕疵及修復費用金額,造同意交由技師公會鑑定,並同意該鑑定結果」,於訴訟中,該約定可認為屬仲裁鑑定契約 (D)當事人間協議「關於建物存在何等瑕疵,應交由兩造同意之獨立鑑定機關鑑定」,於訴訟中,該約定可認為屬仲裁鑑定契約。 答案 : D"
d.,證人在法庭外書面陳述之合意,同意以書面替代到庭作證,證據方法契約,,兩造發生紛爭時由某一造負舉證責任之合意,
e.,鑑定人指定之合意,當事人共同指定鑑定人,證據調查契約,狹義,證據方法契約：有關證據方法之提出或不提出之約定,"e.g.當事人間協議「關於建物存在何等瑕疵,應交由兩造同意之獨立鑑定機關鑑定」"
f.,普通法院審判權之合意,約定由普通法院審理,管轄／審判權契約,,,
g.,由法院酌定和解方案之合意,授權法院提出拘束性和解方案,訴訟上和解契約,具有限妨訴抗辯效力,,
h.,調解委員酌定調解條款之合意,授權調解委員決定條款,ADR程序契約,,,
i.,移付調解之合意,同意改由調解程序處理,程序轉換契約,,,
j.,飛躍上訴之合意,合意跳過第二審直接上第三審,審級利益處分契約,,,
k.,婚姻事件不公開審判之合意,排除公開審判,程序公開性契約,,,
l.,選定法官審判之合意,同意由特定法官審理,法官選定契約,,,
+,仲裁協議,,兼具私法契約與訴訟契約性質之特殊契約,具妨訴抗辯效力,仲裁協議係當事人約定將一定法律關係之爭議提交仲裁解決之契約。其以私法上合意發生程序法效果，使當事人得排除普通法院審判而改由仲裁程序解決紛爭，因此具有訴訟契約性質。通說並認其兼具私法契約與訴訟契約之雙重性質。依仲裁法第4條，一方違反仲裁協議起訴時，他方得提出妨訴抗辯。,
,常見誤區,,,,,
,排除法定程序架構之合意,無效,釋字第591號指出，人民在憲法保障的訴訟權下，雖然可以在法律允許的範圍內合意選擇訴訟或其他紛爭解決程序，但程序的種類與要件仍要受法律規範，不能用私約任意排除法定程序架構。民事訴訟法第427條與第436條之8只明文承認當事人得合意適用「簡易程序」或「小額程序」，卻沒有相對應的「合意一律適用通常訴訟程序」規定,,,
